=== Android Logcat 캡처 ===
=== 저장 시각: 2026-09-27 02:52:05 ===
=== 대상 기기: SM_S901N (R3CTA0SSZ4Z) ===

--------- beginning of main
09-27 02:43:05.382 30575 30610 I Unity   : [02:43:05.377] [INFO] [Network/LobbyManager] CreateOrJoin 완료 | MatchId=91faadd1-ff40-4cbd-939e-411411a2d049, LobbyId=91faadd1-ff40-4cbd-939e-411411a2d049, HostId=f59803b95e641dc6, IsHost=False
09-27 02:43:05.382 30575 30610 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
09-27 02:43:05.382 30575 30610 I Unity   : Hexiege.Infrastructure.ConsoleSink:Write(LogLevel, String, String, String, String, Exception)
09-27 02:43:05.382 30575 30610 I Unity   : Hexiege.Application.GameLog:Emit(LogLevel, Nullable`1, String, String, String, String, Exception)
09-27 02:43:05.382 30575 30610 I Unity   : Hexiege.Infrastructure.<CreateOrJoinLobbyByMatchIdAsync>d__10:MoveNext()
09-27 02:43:05.382 30575 30610 I Unity   : System.Threading.ExecutionContext:RunInternal(ExecutionContext, ContextCallback, Object, Boolean)
09-27 02:43:05.382 30575 30610 I Unity   : System.Runtime.CompilerServices.MoveNextRunner:Run()
09-27 02:43:05.382 30575 30610 I Unity   : System.Threading.Tasks.AwaitTaskContinuation:RunCallback(ContextCallback, Object, Task&)
09-27 02:43:05.382 30575 30610 I Unity   : System.Threading.Tasks.Task:FinishContinuations()
09-27 02:43:05.382 30575 30610 I Unity   : System.Threading.Tasks.Task`1:TrySetResult(TResult)
09-27 02:43:05.382 30575 30610 I Unity   : System.Runtime.CompilerServices.AsyncTaskMethodBuilder`1:SetResult(TResult)
09-27 02:43:05.382 30575 30610 I Unity   : Unity.Services.Lobbies.Internal.<CreateOrJoinLobbyAsync>d__16:Move
09-27 02:43:05.383 30575 30610 I Unity   : [02:43:05.382] [INFO] [Network/NetworkGameManager] CreateOrJoin 으로 역할 확정 | Role=Client, MatchId=91faadd1-ff40-4cbd-939e-411411a2d049
09-27 02:43:05.383 30575 30610 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
